,,,,,
ORF,SGD,PLATE,TAP LOCATION,DISH PLATE LOCATION ,CONTROLS ADDED 
YHR099W,TRA1,1GS6,A1,1,
YDR545W,WT3,1GS6,A10,10,WT3
YLR467W,YRF1-5,1GS6,A11,11,
YMR306W,FKS3,1GS6,A12,12,
YLR087C,CSF1,1GS6,A2,2,
YBL088C,TEL1,1GS6,A3,3,
YPR117W,WT4,1GS6,A4,4,WT4
YCR032W,BPH1,1GS6,A5,5,
YGR184C,UBR1,1GS6,A6,6,
YIL177C,YIL177C,1GS6,A7,7,
YJL225C,YJL225C,1GS6,A8,8,
YLR024C,UBR2,1GS6,A9,9,
YER190W,YRF1-2,1GS6,B1,13,
YER093C,TSC11,1GS6,B10,22,
YML133C,YML133C,1GS6,B11,23,
YPR164W,MMS1,1GS6,B12,24,
YMR219W,ESC1,1GS6,B2,14,
YCR089W,FIG2,1GS6,B3,15,
YAR050W,FLO1,1GS6,B4,16,
YPL167C,REV3,1GS6,B5,17,
YLR256W,HAP1,1GS6,B6,18,
YLR320W,MMS22,1GS6,B7,19,
YMR190C,SGS1,1GS6,B8,20,
YDR464W,SPP41,1GS6,B9,21,
YLR466W,YRF1-4,1GS6,C1,25,
YLL066C,YLL066C,1GS6,C10,34,
YLL067C,YLL067C,1GS6,C11,35,
YGL251C,HFM1,1GS6,C12,36,
YIR019C,RAD532,1GS6,C2,26,RAD532
YML049C,RSE1,1GS6,C3,27,
YLR371W,ROM2,1GS6,C4,28,
YFL036W,RAD533,1GS6,C5,29,RAD533
YAL063C,RAD534,1GS6,C6,30,RAD534
YLR425W,TUS1,1GS6,C7,31,
YEL077C,ECO11,1GS6,C8,32,ECO11
YDR104C,ECO12,1GS6,C9,33,ECO12
YOR396W,YOR396W,1GS6,D1,37,
YHL023C,RMD11,1GS6,D10,46,
YMR317W,YMR317W,1GS6,D11,47,
YGR170W,PSD2,1GS6,D12,48,
YPR026W,ATH1,1GS6,D2,38,
YEL025C,YEL025C,1GS6,D3,39,
YPL217C,ECO13,1GS6,D4,40,ECO13
YKR102W,FLO10,1GS6,D5,41,
YJR151C,ORC61,1GS6,D6,42,ORC61
YGR070W,ORC62,1GS6,D7,43,ORC62
YBL105C,PKC1,1GS6,D8,44,
YJR090C,GRR1,1GS6,D9,45,
YDL231C,BRE4,1GS6,E1,49,
YLL016W,YLL016W,1GS6,E10,58,
YDL223C,SLD22,1GS6,E11,59,SLD22
YNL327W,EGT2,1GS6,E12,60,
YJR039W,YJR039W,1GS6,E2,50,
YPR030W,CSR2,1GS6,E3,51,
YNR065C,YSN1,1GS6,E4,52,
YKR028W,ORC63,1GS6,E5,53,ORC63
YDL102W,POL3,1GS6,E6,54,
YER033C,ZRG8,1GS6,E7,55,
YHR211W,FLO5,1GS6,E8,56,
YBL066C,SLD23,1GS6,E9,57,SLD23
YPR204W,YPR204W,1GS6,F1,61,
YHL050C,YHL050C,1GS6,F10,70,
YJR089W,BIR1,1GS6,F11,71,
YOR005C,DNL4,1GS6,F12,72,
YDL031W,DBP10,1GS6,F2,62,
YIL169C,YIL169C,1GS6,F3,63,
YIR002C,MPH1,1GS6,F4,64,
YLR389C,STE23,1GS6,F5,65,
YDL073W,YDL073W,1GS6,F6,66,
YMR185W,YMR185W,1GS6,F7,67,
YOL155C,YOL155C,1GS6,F8,68,
YDR359C,VID21,1GS6,F9,69,
YJR061W,YJR061W,1GS6,G1,73,
YKR009C,FOX2,1GS6,G10,82,
YDR466W,YDR466W,1GS6,G11,83,
YJR036C,HUL4,1GS6,G12,84,
YKL171W,YKL171W,1GS6,G2,74,
YBR203W,SLD24,1GS6,G3,75,SLD24
YKL050C,YKL050C,1GS6,G4,76,
YGL093W,SLD25,1GS6,G5,77,SLD25
YLR014C,PPR1,1GS6,G6,78,
YPR160W,GPH1,1GS6,G7,79,
YDL154W,MSH5,1GS6,G8,80,
YDR006C,SOK1,1GS6,G9,81,
YIL073C,SPO22,1GS6,H1,85,
YCL054W,SPB1,1GS6,H10,94,
YGL073W,HSF1,1GS6,H11,95,
YCR106W,RDS1,1GS6,H12,96,
YDR206W,EBS1,1GS6,H2,86,
YLR318W,RNR21,1GS6,H3,87,RNR21
YJL078C,RNR22,1GS6,H4,88,RNR22
YML099C,ARG81,1GS6,H5,89,
YFL003C,MSH4,1GS6,H6,90,
YJL165C,HAL5,1GS6,H7,91,
YER167W,BCK2,1GS6,H8,92,
YBR108W,YBR108W,1GS6,H9,93,